"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"68947","40.30139","-99.05188","Hildreth","NE","Nebraska","TRUE","","616","2.6","31061","Franklin","{""31061"": 79.21, ""31099"": 20.79}","Franklin|Kearney","31061|31099","FALSE","FALSE","America/Chicago"
"68948","40.34151","-100.02639","Holbrook","NE","Nebraska","TRUE","","322","1.1","31065","Furnas","{""31065"": 48.64, ""31073"": 30.84, ""31063"": 20.52}","Furnas|Gosper|Frontier","31065|31073|31063","FALSE","FALSE","America/Chicago"
"68949","40.43193","-99.39481","Holdrege","NE","Nebraska","TRUE","","6568","11.6","31137","Phelps","{""31137"": 85.04, ""31083"": 14.96}","Phelps|Harlan","31137|31083","FALSE","FALSE","America/Chicago"
"68950","40.45586","-98.66413","Holstein","NE","Nebraska","TRUE","","267","2.1","31001","Adams","{""31001"": 100}","Adams","31001","FALSE","FALSE","America/Chicago"
"68952","40.08443","-98.67587","Inavale","NE","Nebraska","TRUE","","63","0.4","31181","Webster","{""31181"": 100}","Webster","31181","FALSE","FALSE","America/Chicago"
"68954","40.61215","-98.23512","Inland","NE","Nebraska","TRUE","","7","0.2","31035","Clay","{""31035"": 100}","Clay","31035","FALSE","FALSE","America/Chicago"
"68955","40.59288","-98.53966","Juniata","NE","Nebraska","TRUE","","2140","8.7","31001","Adams","{""31001"": 100}","Adams","31001","FALSE","FALSE","America/Chicago"
"68956","40.63088","-98.6891","Kenesaw","NE","Nebraska","TRUE","","1230","5.0","31001","Adams","{""31001"": 71.42, ""31099"": 20.24, ""31079"": 6.51, ""31019"": 1.83}","Adams|Kearney|Hall|Buffalo","31001|31099|31079|31019","FALSE","FALSE","America/Chicago"
"68957","40.26745","-98.24176","Lawrence","NE","Nebraska","TRUE","","558","2.1","31129","Nuckolls","{""31129"": 68.43, ""31181"": 26.97, ""31001"": 2.75, ""31035"": 1.85}","Nuckolls|Webster|Adams|Clay","31129|31181|31001|31035","FALSE","FALSE","America/Chicago"
"68958","40.52772","-99.50394","Loomis","NE","Nebraska","TRUE","","581","3.1","31137","Phelps","{""31137"": 100}","Phelps","31137","FALSE","FALSE","America/Chicago"
"68959","40.49009","-98.91487","Minden","NE","Nebraska","TRUE","","3800","5.9","31099","Kearney","{""31099"": 100}","Kearney","31099","FALSE","FALSE","America/Chicago"
"68960","40.08549","-99.13866","Naponee","NE","Nebraska","TRUE","","170","1.5","31061","Franklin","{""31061"": 98.16, ""31083"": 1.84}","Franklin|Harlan","31061|31083","FALSE","FALSE","America/Chicago"
"68961","40.20679","-98.03502","Nelson","NE","Nebraska","TRUE","","606","1.8","31129","Nuckolls","{""31129"": 100}","Nuckolls","31129","FALSE","FALSE","America/Chicago"
"68964","40.23541","-97.90207","Oak","NE","Nebraska","TRUE","","95","1.3","31129","Nuckolls","{""31129"": 96.65, ""31169"": 3.35}","Nuckolls|Thayer","31129|31169","FALSE","FALSE","America/Chicago"
"68966","40.15765","-99.46262","Orleans","NE","Nebraska","TRUE","","480","1.3","31083","Harlan","{""31083"": 100}","Harlan","31083","FALSE","FALSE","America/Chicago"
"68967","40.25263","-99.63085","Oxford","NE","Nebraska","TRUE","","1054","2.1","31065","Furnas","{""31065"": 48.82, ""31083"": 47.6, ""31073"": 3.58}","Furnas|Harlan|Gosper","31065|31083|31073","FALSE","FALSE","America/Chicago"
"68970","40.10157","-98.52292","Red Cloud","NE","Nebraska","TRUE","","1352","3.4","31181","Webster","{""31181"": 100}","Webster","31181","FALSE","FALSE","America/Chicago"
"68971","40.11931","-99.24478","Republican City","NE","Nebraska","TRUE","","331","1.3","31083","Harlan","{""31083"": 100}","Harlan","31083","FALSE","FALSE","America/Chicago"
"68972","40.10361","-98.80258","Riverton","NE","Nebraska","TRUE","","264","0.8","31061","Franklin","{""31061"": 99.27, ""31181"": 0.73}","Franklin|Webster","31061|31181","FALSE","FALSE","America/Chicago"
"68973","40.45014","-98.55962","Roseland","NE","Nebraska","TRUE","","423","3.5","31001","Adams","{""31001"": 100}","Adams","31001","FALSE","FALSE","America/Chicago"
