"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"44003","41.6202","-80.58361","Andover","OH","Ohio","TRUE","","4926","31.3","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44004","41.85255","-80.78738","Ashtabula","OH","Ohio","TRUE","","31469","164.0","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44010","41.76087","-80.85152","Austinburg","OH","Ohio","TRUE","","1671","35.2","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44011","41.44855","-82.0187","Avon","OH","Ohio","TRUE","","24542","455.8","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44012","41.49443","-82.01594","Avon Lake","OH","Ohio","TRUE","","25005","867.5","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44017","41.36867","-81.86303","Berea","OH","Ohio","TRUE","","18724","1176.7","39035","Cuyahoga","{""39035"": 100}","Cuyahoga","39035","FALSE","FALSE","America/New_York"
"44021","41.44141","-81.14579","Burton","OH","Ohio","TRUE","","5706","54.5","39055","Geauga","{""39055"": 100}","Geauga","39055","FALSE","FALSE","America/New_York"
"44022","41.44747","-81.4045","Chagrin Falls","OH","Ohio","TRUE","","16675","213.5","39035","Cuyahoga","{""39035"": 72.59, ""39055"": 27.41}","Cuyahoga|Geauga","39035|39055","FALSE","FALSE","America/New_York"
"44023","41.38732","-81.28858","Chagrin Falls","OH","Ohio","TRUE","","18842","141.0","39055","Geauga","{""39055"": 100}","Geauga","39055","FALSE","FALSE","America/New_York"
"44024","41.57668","-81.19112","Chardon","OH","Ohio","TRUE","","24211","103.8","39055","Geauga","{""39055"": 97.69, ""39085"": 2.31}","Geauga|Lake","39055|39085","FALSE","FALSE","America/New_York"
"44026","41.53182","-81.3305","Chesterland","OH","Ohio","TRUE","","10772","144.1","39055","Geauga","{""39055"": 100}","Geauga","39055","FALSE","FALSE","America/New_York"
"44028","41.30986","-81.93959","Columbia Station","OH","Ohio","TRUE","","9316","106.9","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44030","41.8973","-80.58061","Conneaut","OH","Ohio","TRUE","","16159","106.3","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44032","41.6658","-80.66954","Dorset","OH","Ohio","TRUE","","1284","12.0","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44035","41.36539","-82.13025","Elyria","OH","Ohio","TRUE","","61921","502.6","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44039","41.38404","-82.02014","North Ridgeville","OH","Ohio","TRUE","","35064","561.9","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44040","41.53128","-81.4112","Gates Mills","OH","Ohio","TRUE","","3086","121.3","39035","Cuyahoga","{""39035"": 100}","Cuyahoga","39035","FALSE","FALSE","America/New_York"
"44041","41.77579","-80.95223","Geneva","OH","Ohio","TRUE","","14002","83.1","39007","Ashtabula","{""39007"": 97.98, ""39085"": 2.02}","Ashtabula|Lake","39007|39085","FALSE","FALSE","America/New_York"
"44044","41.26779","-82.04188","Grafton","OH","Ohio","TRUE","","15053","107.4","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44045","41.7461","-81.28512","Grand River","OH","Ohio","TRUE","","680","280.1","39085","Lake","{""39085"": 100}","Lake","39085","FALSE","FALSE","America/New_York"
"44046","41.54157","-81.07227","Huntsburg","OH","Ohio","TRUE","","2231","57.6","39055","Geauga","{""39055"": 100}","Geauga","39055","FALSE","FALSE","America/New_York"
"44047","41.71887","-80.73921","Jefferson","OH","Ohio","TRUE","","8751","31.6","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44048","41.84697","-80.64343","Kingsville","OH","Ohio","TRUE","","2332","32.1","39007","Ashtabula","{""39007"": 100}","Ashtabula","39007","FALSE","FALSE","America/New_York"
"44049","41.26626","-82.30553","Kipton","OH","Ohio","TRUE","","198","219.4","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44050","41.24853","-82.13119","Lagrange","OH","Ohio","TRUE","","6867","103.8","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44052","41.45519","-82.16133","Lorain","OH","Ohio","TRUE","","28841","1172.5","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44053","41.42694","-82.22138","Lorain","OH","Ohio","TRUE","","20588","733.8","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44054","41.46419","-82.0931","Sheffield Lake","OH","Ohio","TRUE","","12642","389.9","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44055","41.43309","-82.13354","Lorain","OH","Ohio","TRUE","","19513","1196.0","39093","Lorain","{""39093"": 100}","Lorain","39093","FALSE","FALSE","America/New_York"
"44056","41.31465","-81.49868","Macedonia","OH","Ohio","TRUE","","12083","478.0","39153","Summit","{""39153"": 100}","Summit","39153","FALSE","FALSE","America/New_York"
"44057","41.76675","-81.05965","Madison","OH","Ohio","TRUE","","19384","149.4","39085","Lake","{""39085"": 94.32, ""39055"": 5.15, ""39007"": 0.53}","Lake|Geauga|Ashtabula","39085|39055|39007","FALSE","FALSE","America/New_York"
