"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"55317","44.85711","-93.55096","Chanhassen","MN","Minnesota","TRUE","","21773","639.4","27019","Carver","{""27019"": 98.36, ""27053"": 1.64}","Carver|Hennepin","27019|27053","FALSE","FALSE","America/Chicago"
"55318","44.81169","-93.63703","Chaska","MN","Minnesota","TRUE","","28981","280.3","27019","Carver","{""27019"": 100}","Carver","27019","FALSE","FALSE","America/Chicago"
"55319","45.47181","-93.94359","Clear Lake","MN","Minnesota","TRUE","","5402","29.2","27141","Sherburne","{""27141"": 100}","Sherburne","27141","FALSE","FALSE","America/Chicago"
"55320","45.39613","-94.08366","Clearwater","MN","Minnesota","TRUE","","5258","41.6","27145","Stearns","{""27145"": 58.72, ""27171"": 41.28}","Stearns|Wright","27145|27171","FALSE","FALSE","America/Chicago"
"55321","45.08406","-94.193","Cokato","MN","Minnesota","TRUE","","5376","25.6","27171","Wright","{""27171"": 100}","Wright","27171","FALSE","FALSE","America/Chicago"
"55322","44.77006","-93.7861","Cologne","MN","Minnesota","TRUE","","3708","25.0","27019","Carver","{""27019"": 100}","Carver","27019","FALSE","FALSE","America/Chicago"
"55324","45.05676","-94.42554","Darwin","MN","Minnesota","TRUE","","1183","13.0","27093","Meeker","{""27093"": 100}","Meeker","27093","FALSE","FALSE","America/Chicago"
"55325","45.08432","-94.32031","Dassel","MN","Minnesota","TRUE","","4837","24.4","27093","Meeker","{""27093"": 100}","Meeker","27093","FALSE","FALSE","America/Chicago"
"55327","45.19922","-93.4753","Dayton","MN","Minnesota","TRUE","","4706","103.4","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55328","45.03246","-93.80981","Delano","MN","Minnesota","TRUE","","9572","82.3","27171","Wright","{""27171"": 86.34, ""27019"": 6.84, ""27053"": 6.82}","Wright|Carver|Hennepin","27171|27019|27053","FALSE","FALSE","America/Chicago"
"55329","45.30798","-94.57039","Eden Valley","MN","Minnesota","TRUE","","1915","14.6","27093","Meeker","{""27093"": 68.41, ""27145"": 31.59}","Meeker|Stearns","27093|27145","FALSE","FALSE","America/Chicago"
"55330","45.33359","-93.5679","Elk River","MN","Minnesota","TRUE","","43549","157.7","27141","Sherburne","{""27141"": 62.01, ""27003"": 21.2, ""27171"": 16.79}","Sherburne|Anoka|Wright","27141|27003|27171","FALSE","FALSE","America/Chicago"
"55331","44.90124","-93.60832","Excelsior","MN","Minnesota","TRUE","","19317","457.1","27053","Hennepin","{""27053"": 71.48, ""27019"": 28.52}","Hennepin|Carver","27053|27019","FALSE","FALSE","America/Chicago"
"55332","44.51852","-94.70761","Fairfax","MN","Minnesota","TRUE","","1919","6.5","27129","Renville","{""27129"": 81.85, ""27103"": 16.58, ""27143"": 1.57}","Renville|Nicollet|Sibley","27129|27103|27143","FALSE","FALSE","America/Chicago"
"55333","44.55987","-94.86593","Franklin","MN","Minnesota","TRUE","","715","4.0","27129","Renville","{""27129"": 91.74, ""27015"": 4.36, ""27127"": 3.9}","Renville|Brown|Redwood","27129|27015|27127","FALSE","FALSE","America/Chicago"
"55334","44.53578","-94.20772","Gaylord","MN","Minnesota","TRUE","","2670","12.1","27143","Sibley","{""27143"": 87.92, ""27103"": 11.4, ""27085"": 0.68}","Sibley|Nicollet|McLeod","27143|27103|27085","FALSE","FALSE","America/Chicago"
"55335","44.52969","-94.54621","Gibbon","MN","Minnesota","TRUE","","1598","5.5","27143","Sibley","{""27143"": 83.71, ""27103"": 16.29}","Sibley|Nicollet","27143|27103","FALSE","FALSE","America/Chicago"
"55336","44.76627","-94.17803","Glencoe","MN","Minnesota","TRUE","","8273","23.5","27085","McLeod","{""27085"": 79.46, ""27143"": 20.54}","McLeod|Sibley","27085|27143","FALSE","FALSE","America/Chicago"
"55337","44.77673","-93.27491","Burnsville","MN","Minnesota","TRUE","","47810","986.3","27037","Dakota","{""27037"": 100}","Dakota","27037","FALSE","FALSE","America/Chicago"
"55338","44.66996","-93.99688","Green Isle","MN","Minnesota","TRUE","","1106","10.5","27143","Sibley","{""27143"": 100}","Sibley","27143","FALSE","FALSE","America/Chicago"
"55339","44.7289","-93.95905","Hamburg","MN","Minnesota","TRUE","","959","16.2","27019","Carver","{""27019"": 65.35, ""27143"": 30.73, ""27085"": 3.92}","Carver|Sibley|McLeod","27019|27143|27085","FALSE","FALSE","America/Chicago"
"55340","45.07761","-93.57508","Hamel","MN","Minnesota","TRUE","","9117","98.8","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55341","45.15917","-93.65913","Hanover","MN","Minnesota","TRUE","","3479","276.9","27171","Wright","{""27171"": 57.56, ""27053"": 42.44}","Wright|Hennepin","27171|27053","FALSE","FALSE","America/Chicago"
"55342","44.74152","-94.72982","Hector","MN","Minnesota","TRUE","","1808","4.3","27129","Renville","{""27129"": 99.73, ""27093"": 0.27}","Renville|Meeker","27129|27093","FALSE","FALSE","America/Chicago"
"55343","44.91433","-93.41568","Hopkins","MN","Minnesota","TRUE","","26472","1328.0","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55344","44.86452","-93.43037","Eden Prairie","MN","Minnesota","TRUE","","15083","657.3","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55345","44.91526","-93.4838","Minnetonka","MN","Minnesota","TRUE","","21528","731.2","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55346","44.87882","-93.48157","Eden Prairie","MN","Minnesota","TRUE","","18132","1035.4","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55347","44.82931","-93.46638","Eden Prairie","MN","Minnesota","TRUE","","30833","706.0","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55349","45.06238","-94.07438","Howard Lake","MN","Minnesota","TRUE","","3531","21.9","27171","Wright","{""27171"": 100}","Wright","27171","FALSE","FALSE","America/Chicago"
"55350","44.89743","-94.39195","Hutchinson","MN","Minnesota","TRUE","","18683","45.1","27085","McLeod","{""27085"": 86.48, ""27093"": 11.43, ""27129"": 2.09}","McLeod|Meeker|Renville","27085|27093|27129","FALSE","FALSE","America/Chicago"
"55352","44.65505","-93.5862","Jordan","MN","Minnesota","TRUE","","10210","58.3","27139","Scott","{""27139"": 100}","Scott","27139","FALSE","FALSE","America/Chicago"
"55353","45.32034","-94.31607","Kimball","MN","Minnesota","TRUE","","3273","15.6","27145","Stearns","{""27145"": 67.05, ""27093"": 32.95}","Stearns|Meeker","27145|27093","FALSE","FALSE","America/Chicago"
"55354","44.88466","-94.0701","Lester Prairie","MN","Minnesota","TRUE","","2957","35.2","27085","McLeod","{""27085"": 100}","McLeod","27085","FALSE","FALSE","America/Chicago"
"55355","45.09709","-94.54017","Litchfield","MN","Minnesota","TRUE","","9505","21.4","27093","Meeker","{""27093"": 100}","Meeker","27093","FALSE","FALSE","America/Chicago"
"55356","44.99565","-93.58628","Long Lake","MN","Minnesota","TRUE","","5969","176.6","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55357","45.09906","-93.65913","Loretto","MN","Minnesota","TRUE","","3344","66.2","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55358","45.24637","-94.00049","Maple Lake","MN","Minnesota","TRUE","","5238","37.1","27171","Wright","{""27171"": 100}","Wright","27171","FALSE","FALSE","America/Chicago"
"55359","45.00464","-93.70112","Maple Plain","MN","Minnesota","TRUE","","6883","62.2","27053","Hennepin","{""27053"": 100}","Hennepin","27053","FALSE","FALSE","America/Chicago"
"55360","44.91331","-93.92065","Mayer","MN","Minnesota","TRUE","","3242","40.9","27019","Carver","{""27019"": 100}","Carver","27019","FALSE","FALSE","America/Chicago"
"55362","45.30099","-93.83563","Monticello","MN","Minnesota","TRUE","","19601","115.9","27171","Wright","{""27171"": 100}","Wright","27171","FALSE","FALSE","America/Chicago"
"55363","45.04385","-93.91352","Montrose","MN","Minnesota","TRUE","","5465","75.3","27171","Wright","{""27171"": 99.12, ""27019"": 0.88}","Wright|Carver","27171|27019","FALSE","FALSE","America/Chicago"
