"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"49780","46.20913","-84.6854","Rudyard","MI","Michigan","TRUE","","1603","2.3","26033","Chippewa","{""26033"": 74.57, ""26097"": 25.43}","Chippewa|Mackinac","26033|26097","FALSE","FALSE","America/Detroit"
"49781","45.95272","-84.77652","Saint Ignace","MI","Michigan","TRUE","","3404","16.1","26097","Mackinac","{""26097"": 100}","Mackinac","26097","FALSE","FALSE","America/Detroit"
"49782","45.65547","-85.55199","Beaver Island","MI","Michigan","TRUE","","616","4.3","26029","Charlevoix","{""26029"": 100}","Charlevoix","26029","FALSE","FALSE","America/Detroit"
"49783","46.41495","-84.28006","Sault Sainte Marie","MI","Michigan","TRUE","","19302","50.1","26033","Chippewa","{""26033"": 100}","Chippewa","26033","FALSE","FALSE","America/Detroit"
"49784","46.2577","-84.45483","Kincheloe","MI","Michigan","TRUE","","1068","3052.7","26033","Chippewa","{""26033"": 100}","Chippewa","26033","FALSE","FALSE","America/Detroit"
"49788","46.26418","-84.46779","Kincheloe","MI","Michigan","TRUE","","4064","207.1","26033","Chippewa","{""26033"": 100}","Chippewa","26033","FALSE","FALSE","America/Detroit"
"49791","45.48093","-84.59945","Topinabee","MI","Michigan","TRUE","","274","202.5","26031","Cheboygan","{""26031"": 100}","Cheboygan","26031","FALSE","FALSE","America/Detroit"
"49793","46.21221","-85.04417","Trout Lake","MI","Michigan","TRUE","","123","0.6","26033","Chippewa","{""26033"": 79.41, ""26097"": 20.59}","Chippewa|Mackinac","26033|26097","FALSE","FALSE","America/Detroit"
"49795","45.15835","-84.57563","Vanderbilt","MI","Michigan","TRUE","","1871","5.4","26137","Otsego","{""26137"": 84.4, ""26029"": 8.12, ""26031"": 7.48}","Otsego|Charlevoix|Cheboygan","26137|26029|26031","FALSE","FALSE","America/Detroit"
"49796","45.27407","-84.94712","Walloon Lake","MI","Michigan","TRUE","","354","86.4","26029","Charlevoix","{""26029"": 100}","Charlevoix","26029","FALSE","FALSE","America/Detroit"
"49799","45.26597","-84.58177","Wolverine","MI","Michigan","TRUE","","2295","7.5","26031","Cheboygan","{""26031"": 100}","Cheboygan","26031","FALSE","FALSE","America/Detroit"
"49801","45.9191","-88.01795","Iron Mountain","MI","Michigan","TRUE","","11623","36.2","26043","Dickinson","{""26043"": 100}","Dickinson","26043","FALSE","FALSE","America/Menominee"
"49802","45.80053","-88.07718","Kingsford","MI","Michigan","TRUE","","6075","297.4","26043","Dickinson","{""26043"": 100}","Dickinson","26043","FALSE","FALSE","America/Menominee"
"49805","47.3481","-88.38535","Allouez","MI","Michigan","TRUE","","465","5.6","26083","Keweenaw","{""26083"": 99.74, ""26061"": 0.26}","Keweenaw|Houghton","26083|26061","FALSE","FALSE","America/Detroit"
"49806","46.43802","-86.90056","Au Train","MI","Michigan","TRUE","","642","7.1","26003","Alger","{""26003"": 100}","Alger","26003","FALSE","FALSE","America/Detroit"
"49807","45.71211","-87.28885","Bark River","MI","Michigan","TRUE","","3428","9.2","26041","Delta","{""26041"": 75.58, ""26109"": 24.42}","Delta|Menominee","26041|26109","FALSE","FALSE","America/Detroit"
"49808","46.8109","-87.8764","Big Bay","MI","Michigan","TRUE","","268","0.6","26103","Marquette","{""26103"": 100}","Marquette","26103","FALSE","FALSE","America/Detroit"
"49812","45.59094","-87.50269","Carney","MI","Michigan","TRUE","","775","3.5","26109","Menominee","{""26109"": 100}","Menominee","26109","FALSE","FALSE","America/Menominee"
"49814","46.54459","-87.94395","Champion","MI","Michigan","TRUE","","1161","2.2","26103","Marquette","{""26103"": 100}","Marquette","26103","FALSE","FALSE","America/Detroit"
"49815","46.18465","-87.95967","Channing","MI","Michigan","TRUE","","255","0.8","26043","Dickinson","{""26043"": 100}","Dickinson","26043","FALSE","FALSE","America/Menominee"
"49816","46.27517","-86.89863","Chatham","MI","Michigan","TRUE","","805","5.4","26003","Alger","{""26003"": 100}","Alger","26003","FALSE","FALSE","America/Detroit"
"49817","45.94711","-86.49946","Cooks","MI","Michigan","TRUE","","649","3.1","26041","Delta","{""26041"": 60.12, ""26153"": 39.88}","Delta|Schoolcraft","26041|26153","FALSE","FALSE","America/Detroit"
"49818","45.98223","-87.34745","Cornell","MI","Michigan","TRUE","","1136","2.3","26103","Marquette","{""26103"": 52.36, ""26041"": 47.64}","Marquette|Delta","26103|26041","FALSE","FALSE","America/Detroit"
"49820","46.18965","-85.67951","Curtis","MI","Michigan","TRUE","","206","3.1","26097","Mackinac","{""26097"": 100}","Mackinac","26097","FALSE","FALSE","America/Detroit"
"49821","45.52167","-87.63052","Daggett","MI","Michigan","TRUE","","1343","3.8","26109","Menominee","{""26109"": 100}","Menominee","26109","FALSE","FALSE","America/Menominee"
"49822","46.45095","-87.02812","Deerton","MI","Michigan","TRUE","","210","1.4","26003","Alger","{""26003"": 97.46, ""26103"": 2.54}","Alger|Marquette","26003|26103","FALSE","FALSE","America/Detroit"
"49825","46.36039","-86.98462","Eben Junction","MI","Michigan","TRUE","","242","3.6","26003","Alger","{""26003"": 100}","Alger","26003","FALSE","FALSE","America/Detroit"
"49826","46.32316","-87.04567","Rumely","MI","Michigan","TRUE","","127","3.5","26003","Alger","{""26003"": 100}","Alger","26003","FALSE","FALSE","America/Detroit"
"49827","46.1751","-85.53607","Engadine","MI","Michigan","TRUE","","1128","3.9","26097","Mackinac","{""26097"": 100}","Mackinac","26097","FALSE","FALSE","America/Detroit"
"49829","45.76773","-87.16522","Escanaba","MI","Michigan","TRUE","","16880","97.6","26041","Delta","{""26041"": 100}","Delta","26041","FALSE","FALSE","America/Detroit"
"49831","46.05777","-87.7356","Felch","MI","Michigan","TRUE","","602","1.7","26043","Dickinson","{""26043"": 68.03, ""26103"": 31.97}","Dickinson|Marquette","26043|26103","FALSE","FALSE","America/Menominee"
"49833","46.27504","-87.29142","Little Lake","MI","Michigan","TRUE","","76","2.1","26103","Marquette","{""26103"": 100}","Marquette","26103","FALSE","FALSE","America/Detroit"
"49834","45.96829","-87.70292","Foster City","MI","Michigan","TRUE","","479","2.4","26043","Dickinson","{""26043"": 100}","Dickinson","26043","FALSE","FALSE","America/Menominee"
"49835","45.74396","-86.57555","Garden","MI","Michigan","TRUE","","661","3.0","26041","Delta","{""26041"": 100}","Delta","26041","FALSE","FALSE","America/Detroit"
"49836","46.1971","-85.88725","Germfask","MI","Michigan","TRUE","","1043","4.1","26153","Schoolcraft","{""26153"": 72.63, ""26097"": 27.26, ""26095"": 0.11}","Schoolcraft|Mackinac|Luce","26153|26097|26095","FALSE","FALSE","America/Detroit"
"49837","45.87129","-87.09781","Gladstone","MI","Michigan","TRUE","","9833","55.0","26041","Delta","{""26041"": 100}","Delta","26041","FALSE","FALSE","America/Detroit"
"49838","46.06473","-85.75035","Gould City","MI","Michigan","TRUE","","326","0.9","26097","Mackinac","{""26097"": 100}","Mackinac","26097","FALSE","FALSE","America/Detroit"
"49839","46.59994","-86.11555","Grand Marais","MI","Michigan","TRUE","","336","0.8","26003","Alger","{""26003"": 100}","Alger","26003","FALSE","FALSE","America/Detroit"
"49840","46.13742","-86.06009","Gulliver","MI","Michigan","TRUE","","663","1.0","26153","Schoolcraft","{""26153"": 100}","Schoolcraft","26153","FALSE","FALSE","America/Detroit"
