"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"67756","39.79815","-101.84265","Saint Francis","KS","Kansas","TRUE","","1796","1.1","20023","Cheyenne","{""20023"": 100}","Cheyenne","20023","FALSE","FALSE","America/Chicago"
"67757","39.54527","-100.60881","Selden","KS","Kansas","TRUE","","413","0.8","20179","Sheridan","{""20179"": 61.06, ""20039"": 38.94}","Sheridan|Decatur","20179|20039","FALSE","FALSE","America/Chicago"
"67758","38.89658","-101.7842","Sharon Springs","KS","Kansas","TRUE","","1160","1.0","20199","Wallace","{""20199"": 100}","Wallace","20199","FALSE","FALSE","America/Denver"
"67761","38.95066","-101.52523","Wallace","KS","Kansas","TRUE","","229","0.2","20199","Wallace","{""20199"": 66.35, ""20109"": 33.65}","Wallace|Logan","20199|20109","FALSE","FALSE","America/Denver"
"67762","38.84166","-101.98611","Weskan","KS","Kansas","TRUE","","207","0.3","20199","Wallace","{""20199"": 80.96, ""20071"": 19.04}","Wallace|Greeley","20199|20071","FALSE","FALSE","America/Denver"
"67764","38.89135","-101.15041","Winona","KS","Kansas","TRUE","","389","0.3","20109","Logan","{""20109"": 94.07, ""20193"": 5.93}","Logan|Thomas","20109|20193","FALSE","FALSE","America/Chicago"
"67801","37.72961","-100.05406","Dodge City","KS","Kansas","TRUE","","31044","32.6","20057","Ford","{""20057"": 98.65, ""20083"": 1.35}","Ford|Hodgeman","20057|20083","FALSE","FALSE","America/Chicago"
"67831","37.17956","-99.8018","Ashland","KS","Kansas","TRUE","","1026","0.9","20025","Clark","{""20025"": 100}","Clark","20025","FALSE","FALSE","America/Chicago"
"67834","37.53174","-99.61886","Bucklin","KS","Kansas","TRUE","","1004","1.9","20057","Ford","{""20057"": 66.64, ""20025"": 27.88, ""20097"": 5.48}","Ford|Clark|Kiowa","20057|20025|20097","FALSE","FALSE","America/Chicago"
"67835","37.98071","-100.31746","Cimarron","KS","Kansas","TRUE","","2508","2.0","20069","Gray","{""20069"": 49.28, ""20055"": 43.04, ""20083"": 7.68}","Gray|Finney|Hodgeman","20069|20055|20083","FALSE","FALSE","America/Chicago"
"67836","38.03977","-101.9942","Coolidge","KS","Kansas","TRUE","","131","0.5","20075","Hamilton","{""20075"": 100}","Hamilton","20075","FALSE","FALSE","America/Denver"
"67837","37.55615","-100.66289","Copeland","KS","Kansas","TRUE","","1096","1.9","20081","Haskell","{""20081"": 58.6, ""20069"": 32.63, ""20119"": 8.77}","Haskell|Gray|Meade","20081|20069|20119","FALSE","FALSE","America/Chicago"
"67838","38.05641","-101.13086","Deerfield","KS","Kansas","TRUE","","1161","5.7","20093","Kearny","{""20093"": 85.47, ""20055"": 14.53}","Kearny|Finney","20093|20055","FALSE","FALSE","America/Chicago"
"67839","38.47911","-100.43961","Dighton","KS","Kansas","TRUE","","1020","0.7","20101","Lane","{""20101"": 92.81, ""20063"": 7.19}","Lane|Gove","20101|20063","FALSE","FALSE","America/Chicago"
"67840","37.0736","-100.01097","Englewood","KS","Kansas","TRUE","","87","1.0","20025","Clark","{""20025"": 100}","Clark","20025","FALSE","FALSE","America/Chicago"
"67841","37.62997","-100.22878","Ensign","KS","Kansas","TRUE","","308","1.1","20069","Gray","{""20069"": 60.85, ""20057"": 39.15}","Gray|Ford","20069|20057","FALSE","FALSE","America/Chicago"
"67842","37.54766","-99.77138","Ford","KS","Kansas","TRUE","","444","1.0","20057","Ford","{""20057"": 75.28, ""20025"": 24.72}","Ford|Clark","20057|20025","FALSE","FALSE","America/Chicago"
"67843","37.73027","-99.93728","Fort Dodge","KS","Kansas","TRUE","","122","286.5","20057","Ford","{""20057"": 100}","Ford","20057","FALSE","FALSE","America/Chicago"
"67844","37.37798","-100.19562","Fowler","KS","Kansas","TRUE","","747","1.2","20119","Meade","{""20119"": 82.16, ""20057"": 10.02, ""20069"": 7.82}","Meade|Ford|Gray","20119|20057|20069","FALSE","FALSE","America/Chicago"
"67846","38.02311","-100.77756","Garden City","KS","Kansas","TRUE","","34694","17.1","20055","Finney","{""20055"": 96.15, ""20069"": 2.32, ""20101"": 1.53}","Finney|Gray|Lane","20055|20069|20101","FALSE","FALSE","America/Chicago"
"67849","38.15061","-99.71725","Hanston","KS","Kansas","TRUE","","404","1.1","20083","Hodgeman","{""20083"": 94.82, ""20135"": 5.18}","Hodgeman|Ness","20083|20135","FALSE","FALSE","America/Chicago"
"67850","38.6315","-100.63896","Healy","KS","Kansas","TRUE","","497","1.0","20101","Lane","{""20101"": 59.86, ""20063"": 22.22, ""20171"": 17.92}","Lane|Gove|Scott","20101|20063|20171","FALSE","FALSE","America/Chicago"
"67851","38.08796","-101.01972","Holcomb","KS","Kansas","TRUE","","3165","6.0","20055","Finney","{""20055"": 96.1, ""20171"": 3.9}","Finney|Scott","20055|20171","FALSE","FALSE","America/Chicago"
"67853","37.88416","-100.51616","Ingalls","KS","Kansas","TRUE","","928","1.1","20069","Gray","{""20069"": 83.97, ""20055"": 16.03}","Gray|Finney","20069|20055","FALSE","FALSE","America/Chicago"
"67854","38.09034","-100.0023","Jetmore","KS","Kansas","TRUE","","1122","0.9","20083","Hodgeman","{""20083"": 100}","Hodgeman","20083","FALSE","FALSE","America/Chicago"
"67855","37.54551","-101.69477","Johnson","KS","Kansas","TRUE","","1797","1.4","20187","Stanton","{""20187"": 89.18, ""20129"": 9.7, ""20067"": 1.12}","Stanton|Morton|Grant","20187|20129|20067","FALSE","FALSE","America/Chicago"
"67857","37.99598","-101.55154","Kendall","KS","Kansas","TRUE","","153","0.2","20075","Hamilton","{""20075"": 52.97, ""20093"": 47.03}","Hamilton|Kearny","20075|20093","FALSE","FALSE","America/Denver"
