"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"63535","40.57244","-92.67946","Coatsville","MO","Missouri","TRUE","","27","0.6","29197","Schuyler","{""29197"": 68.32, ""29171"": 31.68}","Schuyler|Putnam","29197|29171","FALSE","FALSE","America/Chicago"
"63536","40.48423","-92.3574","Downing","MO","Missouri","TRUE","","1081","5.0","29197","Schuyler","{""29197"": 55.07, ""29199"": 44.93}","Schuyler|Scotland","29197|29199","FALSE","FALSE","America/Chicago"
"63537","40.14776","-92.16172","Edina","MO","Missouri","TRUE","","2176","6.4","29103","Knox","{""29103"": 100}","Knox","29103","FALSE","FALSE","America/Chicago"
"63538","39.9526","-92.67327","Elmer","MO","Missouri","TRUE","","207","1.4","29121","Macon","{""29121"": 100}","Macon","29121","FALSE","FALSE","America/Chicago"
"63539","39.9279","-92.76781","Ethel","MO","Missouri","TRUE","","272","1.8","29121","Macon","{""29121"": 100}","Macon","29121","FALSE","FALSE","America/Chicago"
"63540","40.09782","-92.40792","Gibbs","MO","Missouri","TRUE","","307","8.5","29001","Adair","{""29001"": 100}","Adair","29001","FALSE","FALSE","America/Chicago"
"63541","40.50355","-92.63331","Glenwood","MO","Missouri","TRUE","","545","4.9","29197","Schuyler","{""29197"": 100}","Schuyler","29197","FALSE","FALSE","America/Chicago"
"63543","40.35765","-92.00976","Gorin","MO","Missouri","TRUE","","167","1.7","29199","Scotland","{""29199"": 100}","Scotland","29199","FALSE","FALSE","America/Chicago"
"63544","40.24603","-92.84943","Green Castle","MO","Missouri","TRUE","","962","2.7","29001","Adair","{""29001"": 45.0, ""29211"": 42.94, ""29171"": 12.06}","Adair|Sullivan|Putnam","29001|29211|29171","FALSE","FALSE","America/Chicago"
"63545","40.26721","-92.9677","Green City","MO","Missouri","TRUE","","871","3.3","29211","Sullivan","{""29211"": 100}","Sullivan","29211","FALSE","FALSE","America/Chicago"
"63546","40.33129","-92.50882","Greentop","MO","Missouri","TRUE","","1625","5.5","29001","Adair","{""29001"": 64.99, ""29197"": 32.95, ""29199"": 2.06}","Adair|Schuyler|Scotland","29001|29197|29199","FALSE","FALSE","America/Chicago"
"63547","40.13492","-92.30651","Hurdland","MO","Missouri","TRUE","","432","2.4","29103","Knox","{""29103"": 89.0, ""29001"": 11.0}","Knox|Adair","29103|29001","FALSE","FALSE","America/Chicago"
"63548","40.53405","-92.4953","Lancaster","MO","Missouri","TRUE","","872","4.0","29197","Schuyler","{""29197"": 100}","Schuyler","29197","FALSE","FALSE","America/Chicago"
"63549","40.0167","-92.49172","La Plata","MO","Missouri","TRUE","","2373","6.8","29121","Macon","{""29121"": 68.48, ""29001"": 29.2, ""29103"": 2.32}","Macon|Adair|Knox","29121|29001|29103","FALSE","FALSE","America/Chicago"
"63551","40.49921","-92.74252","Livonia","MO","Missouri","TRUE","","362","3.2","29171","Putnam","{""29171"": 100}","Putnam","29171","FALSE","FALSE","America/Chicago"
"63552","39.75349","-92.45075","Macon","MO","Missouri","TRUE","","7500","21.7","29121","Macon","{""29121"": 100}","Macon","29121","FALSE","FALSE","America/Chicago"
"63555","40.48458","-92.18698","Memphis","MO","Missouri","TRUE","","3312","6.6","29199","Scotland","{""29199"": 100}","Scotland","29199","FALSE","FALSE","America/Chicago"
"63556","40.18251","-93.11723","Milan","MO","Missouri","TRUE","","3457","5.5","29211","Sullivan","{""29211"": 100}","Sullivan","29211","FALSE","FALSE","America/Chicago"
"63557","39.98297","-92.88045","New Boston","MO","Missouri","TRUE","","166","0.8","29115","Linn","{""29115"": 66.35, ""29121"": 21.28, ""29001"": 9.19, ""29211"": 3.18}","Linn|Macon|Adair|Sullivan","29115|29121|29001|29211","FALSE","FALSE","America/Chicago"
"63558","39.74168","-92.75244","New Cambria","MO","Missouri","TRUE","","648","2.3","29121","Macon","{""29121"": 68.71, ""29041"": 31.29}","Macon|Chariton","29121|29041","FALSE","FALSE","America/Chicago"
"63559","40.22674","-92.74528","Novinger","MO","Missouri","TRUE","","1951","6.8","29001","Adair","{""29001"": 88.31, ""29171"": 11.69}","Adair|Putnam","29001|29171","FALSE","FALSE","America/Chicago"
"63560","40.3574","-93.12291","Pollock","MO","Missouri","TRUE","","98","1.0","29211","Sullivan","{""29211"": 87.21, ""29171"": 12.79}","Sullivan|Putnam","29211|29171","FALSE","FALSE","America/Chicago"
"63561","40.41408","-92.54317","Queen City","MO","Missouri","TRUE","","968","4.4","29197","Schuyler","{""29197"": 100}","Schuyler","29197","FALSE","FALSE","America/Chicago"
"63563","40.30387","-92.07439","Rutledge","MO","Missouri","TRUE","","793","4.1","29103","Knox","{""29103"": 51.96, ""29199"": 48.04}","Knox|Scotland","29103|29199","FALSE","FALSE","America/Chicago"
