"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"42437","37.66234","-87.92067","Morganfield","KY","Kentucky","TRUE","","7879","18.0","21225","Union","{""21225"": 97.1, ""21233"": 2.9}","Union|Webster","21225|21233","FALSE","FALSE","America/Chicago"
"42440","37.23887","-87.46782","Mortons Gap","KY","Kentucky","TRUE","","1056","288.5","21107","Hopkins","{""21107"": 100}","Hopkins","21107","FALSE","FALSE","America/Chicago"
"42441","37.36768","-87.65962","Nebo","KY","Kentucky","TRUE","","1519","10.9","21107","Hopkins","{""21107"": 93.03, ""21233"": 6.97}","Hopkins|Webster","21107|21233","FALSE","FALSE","America/Chicago"
"42442","37.17408","-87.48652","Nortonville","KY","Kentucky","TRUE","","3281","26.9","21107","Hopkins","{""21107"": 99.05, ""21047"": 0.95}","Hopkins|Christian","21107|21047","FALSE","FALSE","America/Chicago"
"42444","37.64152","-87.6455","Poole","KY","Kentucky","TRUE","","0","0.0","21233","Webster","{""21233"": 99.85, ""21101"": 0.15}","Webster|Henderson","21233|21101","FALSE","FALSE","America/Chicago"
"42445","37.12861","-87.86052","Princeton","KY","Kentucky","TRUE","","10289","15.2","21033","Caldwell","{""21033"": 90.97, ""21143"": 4.65, ""21107"": 4.15, ""21221"": 0.23}","Caldwell|Lyon|Hopkins|Trigg","21033|21143|21107|21221","FALSE","FALSE","America/Chicago"
"42450","37.38741","-87.77535","Providence","KY","Kentucky","TRUE","","3890","20.7","21233","Webster","{""21233"": 49.78, ""21107"": 31.84, ""21055"": 18.38}","Webster|Hopkins|Crittenden","21233|21107|21055","FALSE","FALSE","America/Chicago"
"42451","37.88165","-87.38966","Reed","KY","Kentucky","TRUE","","640","6.3","21101","Henderson","{""21101"": 100}","Henderson","21101","FALSE","FALSE","America/Chicago"
"42452","37.68531","-87.53654","Robards","KY","Kentucky","TRUE","","2239","14.4","21101","Henderson","{""21101"": 91.69, ""21233"": 8.31}","Henderson|Webster","21101|21233","FALSE","FALSE","America/Chicago"
"42453","37.14888","-87.58275","Saint Charles","KY","Kentucky","TRUE","","579","9.7","21107","Hopkins","{""21107"": 93.21, ""21047"": 6.79}","Hopkins|Christian","21107|21047","FALSE","FALSE","America/Chicago"
"42455","37.5858","-87.53938","Sebree","KY","Kentucky","TRUE","","3380","18.0","21233","Webster","{""21233"": 100}","Webster","21233","FALSE","FALSE","America/Chicago"
"42456","37.51182","-87.49929","Slaughters","KY","Kentucky","TRUE","","1286","7.2","21233","Webster","{""21233"": 63.48, ""21107"": 36.52}","Webster|Hopkins","21233|21107","FALSE","FALSE","America/Chicago"
"42458","37.85249","-87.42367","Spottsville","KY","Kentucky","TRUE","","1281","45.2","21101","Henderson","{""21101"": 100}","Henderson","21101","FALSE","FALSE","America/Chicago"
"42459","37.5637","-88.01837","Sturgis","KY","Kentucky","TRUE","","3726","11.4","21225","Union","{""21225"": 82.38, ""21055"": 17.62}","Union|Crittenden","21225|21055","FALSE","FALSE","America/Chicago"
"42461","37.78668","-87.88807","Uniontown","KY","Kentucky","TRUE","","1101","13.4","21225","Union","{""21225"": 98.75, ""21101"": 1.25}","Union|Henderson","21225|21101","FALSE","FALSE","America/Chicago"
"42462","37.74123","-87.79834","Waverly","KY","Kentucky","TRUE","","1419","11.2","21225","Union","{""21225"": 68.05, ""21101"": 31.95}","Union|Henderson","21225|21101","FALSE","FALSE","America/Chicago"
"42463","37.47897","-87.86717","Wheatcroft","KY","Kentucky","TRUE","","160","40.3","21233","Webster","{""21233"": 100}","Webster","21233","FALSE","FALSE","America/Chicago"
"42464","37.18132","-87.37148","White Plains","KY","Kentucky","TRUE","","1464","9.4","21107","Hopkins","{""21107"": 71.08, ""21047"": 15.4, ""21177"": 13.52}","Hopkins|Christian|Muhlenberg","21107|21047|21177","FALSE","FALSE","America/Chicago"
"42501","37.06174","-84.44973","Somerset","KY","Kentucky","TRUE","","16629","32.1","21199","Pulaski","{""21199"": 100}","Pulaski","21199","FALSE","FALSE","America/New_York"
"42503","37.15677","-84.52511","Somerset","KY","Kentucky","TRUE","","25707","76.7","21199","Pulaski","{""21199"": 99.85, ""21203"": 0.15}","Pulaski|Rockcastle","21199|21203","FALSE","FALSE","America/New_York"
"42516","37.22247","-84.77881","Bethelridge","KY","Kentucky","TRUE","","610","18.7","21045","Casey","{""21045"": 100}","Casey","21045","FALSE","FALSE","America/New_York"
"42518","36.9253","-84.64265","Bronston","KY","Kentucky","TRUE","","3173","35.8","21199","Pulaski","{""21199"": 52.46, ""21231"": 47.54}","Pulaski|Wayne","21199|21231","FALSE","FALSE","America/New_York"
"42519","36.93932","-84.53573","Burnside","KY","Kentucky","TRUE","","3156","24.7","21199","Pulaski","{""21199"": 100}","Pulaski","21199","FALSE","FALSE","America/New_York"
"42528","37.18335","-85.01712","Dunnville","KY","Kentucky","TRUE","","1842","13.5","21045","Casey","{""21045"": 66.3, ""21207"": 17.53, ""21001"": 16.17}","Casey|Russell|Adair","21045|21207|21001","FALSE","FALSE","America/Chicago"
"42533","37.06752","-84.59382","Ferguson","KY","Kentucky","TRUE","","956","227.5","21199","Pulaski","{""21199"": 100}","Pulaski","21199","FALSE","FALSE","America/New_York"
"42539","37.30566","-84.95265","Liberty","KY","Kentucky","TRUE","","9816","17.3","21045","Casey","{""21045"": 98.95, ""21001"": 1.05}","Casey|Adair","21045|21001","FALSE","FALSE","America/New_York"
"42541","37.37325","-84.80778","Middleburg","KY","Kentucky","TRUE","","231","6.0","21045","Casey","{""21045"": 100}","Casey","21045","FALSE","FALSE","America/New_York"
"42544","37.03473","-84.8143","Nancy","KY","Kentucky","TRUE","","5635","15.3","21199","Pulaski","{""21199"": 73.6, ""21207"": 16.53, ""21231"": 9.87}","Pulaski|Russell|Wayne","21199|21207|21231","FALSE","FALSE","America/New_York"
"42553","37.1716","-84.70056","Science Hill","KY","Kentucky","TRUE","","6076","35.7","21199","Pulaski","{""21199"": 100}","Pulaski","21199","FALSE","FALSE","America/New_York"
"42565","37.15008","-84.90086","Windsor","KY","Kentucky","TRUE","","752","12.2","21045","Casey","{""21045"": 99.3, ""21207"": 0.7}","Casey|Russell","21045|21207","FALSE","FALSE","America/New_York"
"42566","37.28389","-84.77932","Yosemite","KY","Kentucky","TRUE","","344","7.8","21045","Casey","{""21045"": 100}","Casey","21045","FALSE","FALSE","America/New_York"
"42567","37.26441","-84.60454","Eubank","KY","Kentucky","TRUE","","4838","21.2","21199","Pulaski","{""21199"": 87.76, ""21137"": 12.24}","Pulaski|Lincoln","21199|21137","FALSE","FALSE","America/New_York"
"42602","36.73201","-85.13324","Albany","KY","Kentucky","TRUE","","9255","18.9","21053","Clinton","{""21053"": 97.63, ""21207"": 1.25, ""21231"": 0.96, ""47137"": 0.16}","Clinton|Russell|Wayne|Pickett","21053|21207|21231|47137","FALSE","FALSE","America/Chicago"
"42603","36.77875","-85.01093","Alpha","KY","Kentucky","TRUE","","521","17.7","21231","Wayne","{""21231"": 55.16, ""21053"": 44.84}","Wayne|Clinton","21231|21053","FALSE","FALSE","America/Kentucky/Monticello"
"42629","36.92551","-85.11732","Jamestown","KY","Kentucky","TRUE","","5398","20.7","21207","Russell","{""21207"": 100}","Russell","21207","FALSE","FALSE","America/Chicago"
"42631","36.74039","-84.48098","Marshes Siding","KY","Kentucky","TRUE","","191","566.5","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42633","36.79245","-84.83155","Monticello","KY","Kentucky","TRUE","","18385","16.9","21231","Wayne","{""21231"": 100}","Wayne","21231","FALSE","FALSE","America/Kentucky/Monticello"
"42634","36.88043","-84.41601","Parkers Lake","KY","Kentucky","TRUE","","1744","7.6","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42635","36.67601","-84.40033","Pine Knot","KY","Kentucky","TRUE","","5433","83.1","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42638","36.67487","-84.4689","Revelo","KY","Kentucky","TRUE","","157","53.4","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42642","37.05624","-85.0352","Russell Springs","KY","Kentucky","TRUE","","12317","33.9","21207","Russell","{""21207"": 86.34, ""21001"": 10.01, ""21199"": 2.94, ""21045"": 0.71}","Russell|Adair|Pulaski|Casey","21207|21001|21199|21045","FALSE","FALSE","America/Chicago"
"42647","36.6922","-84.61144","Stearns","KY","Kentucky","TRUE","","3535","9.9","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42649","36.6253","-84.41798","Strunk","KY","Kentucky","TRUE","","1340","7.0","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42653","36.78117","-84.4618","Whitley City","KY","Kentucky","TRUE","","4120","19.6","21147","McCreary","{""21147"": 100}","McCreary","21147","FALSE","FALSE","America/New_York"
"42701","37.70502","-85.83881","Elizabethtown","KY","Kentucky","TRUE","","52279","124.7","21093","Hardin","{""21093"": 100}","Hardin","21093","FALSE","FALSE","America/New_York"
"42712","37.56098","-86.15791","Big Clifty","KY","Kentucky","TRUE","","1739","12.3","21093","Hardin","{""21093"": 52.4, ""21085"": 47.6}","Hardin|Grayson","21093|21085","FALSE","FALSE","America/New_York"
"42713","37.37631","-85.88282","Bonnieville","KY","Kentucky","TRUE","","1796","14.6","21099","Hart","{""21099"": 100}","Hart","21099","FALSE","FALSE","America/Chicago"
"42715","36.94352","-85.4134","Breeding","KY","Kentucky","TRUE","","209","3.2","21001","Adair","{""21001"": 61.76, ""21169"": 22.53, ""21057"": 15.71}","Adair|Metcalfe|Cumberland","21001|21169|21057","FALSE","FALSE","America/Chicago"
"42716","37.47495","-85.61925","Buffalo","KY","Kentucky","TRUE","","1450","17.8","21123","Larue","{""21123"": 74.84, ""21087"": 14.82, ""21217"": 10.34}","Larue|Green|Taylor","21123|21087|21217","FALSE","FALSE","America/New_York"
"42717","36.78169","-85.38331","Burkesville","KY","Kentucky","TRUE","","5953","7.5","21057","Cumberland","{""21057"": 97.38, ""21053"": 2.62}","Cumberland|Clinton","21057|21053","FALSE","FALSE","America/Chicago"
"42718","37.38994","-85.37561","Campbellsville","KY","Kentucky","TRUE","","26010","37.8","21217","Taylor","{""21217"": 74.82, ""21155"": 13.06, ""21087"": 7.12, ""21123"": 5.0}","Taylor|Marion|Green|Larue","21217|21155|21087|21123","FALSE","FALSE","America/New_York"
"42721","37.42173","-86.49593","Caneyville","KY","Kentucky","TRUE","","3676","10.0","21085","Grayson","{""21085"": 89.94, ""21031"": 6.12, ""21061"": 3.94}","Grayson|Butler|Edmonson","21085|21031|21061","FALSE","FALSE","America/Chicago"
"42722","37.27628","-85.71703","Canmer","KY","Kentucky","TRUE","","420","9.6","21099","Hart","{""21099"": 100}","Hart","21099","FALSE","FALSE","America/Chicago"
"42724","37.67293","-86.06461","Cecilia","KY","Kentucky","TRUE","","5110","25.9","21093","Hardin","{""21093"": 100}","Hardin","21093","FALSE","FALSE","America/New_York"
"42726","37.42423","-86.15035","Clarkson","KY","Kentucky","TRUE","","5149","19.3","21085","Grayson","{""21085"": 100}","Grayson","21085","FALSE","FALSE","America/Chicago"
"42728","37.10943","-85.28873","Columbia","KY","Kentucky","TRUE","","16255","19.6","21001","Adair","{""21001"": 96.09, ""21217"": 3.81, ""21169"": 0.1}","Adair|Taylor|Metcalfe","21001|21217|21169","FALSE","FALSE","America/Chicago"
"42729","37.30167","-86.09719","Cub Run","KY","Kentucky","TRUE","","1368","12.9","21099","Hart","{""21099"": 70.89, ""21061"": 29.11}","Hart|Edmonson","21099|21061","FALSE","FALSE","America/Chicago"
"42732","37.61","-86.11235","Eastview","KY","Kentucky","TRUE","","2325","16.6","21093","Hardin","{""21093"": 100}","Hardin","21093","FALSE","FALSE","America/New_York"
"42733","37.34008","-85.18028","Elk Horn","KY","Kentucky","TRUE","","1758","12.2","21217","Taylor","{""21217"": 72.57, ""21045"": 25.04, ""21001"": 2.39}","Taylor|Casey|Adair","21217|21045|21001","FALSE","FALSE","America/New_York"
"42740","37.59174","-85.94358","Glendale","KY","Kentucky","TRUE","","2227","27.7","21093","Hardin","{""21093"": 100}","Hardin","21093","FALSE","FALSE","America/New_York"
