"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"82054","41.0647","-104.35899","Carpenter","WY","Wyoming","TRUE","","938","2.0","56021","Laramie","{""56021"": 100}","Laramie","56021","FALSE","FALSE","America/Denver"
"82055","41.3483","-106.18191","Centennial","WY","Wyoming","TRUE","","344","2.3","56001","Albany","{""56001"": 100}","Albany","56001","FALSE","FALSE","America/Denver"
"82058","42.13817","-105.63358","Garrett","WY","Wyoming","TRUE","","16","0.0","56001","Albany","{""56001"": 100}","Albany","56001","FALSE","FALSE","America/Denver"
"82059","41.05681","-105.17714","Granite Canon","WY","Wyoming","TRUE","","279","1.3","56021","Laramie","{""56021"": 100}","Laramie","56021","FALSE","FALSE","America/Denver"
"82060","41.22526","-104.51505","Hillsdale","WY","Wyoming","TRUE","","528","4.9","56021","Laramie","{""56021"": 100}","Laramie","56021","FALSE","FALSE","America/Denver"
"82061","41.43791","-105.15495","Horse Creek","WY","Wyoming","TRUE","","0","0.0","56021","Laramie","{""56021"": 100}","Laramie","56021","FALSE","FALSE","America/Denver"
"82063","40.87554","-105.9889","Jelm","WY","Wyoming","TRUE","","81","0.1","08069","Larimer","{""08069"": 79.7, ""56001"": 20.3}","Larimer|Albany","08069|56001","FALSE","FALSE","America/Denver"
"82070","41.21404","-105.85037","Laramie","WY","Wyoming","TRUE","","19405","7.4","56001","Albany","{""56001"": 100}","Albany","56001","FALSE","FALSE","America/Denver"
"82072","41.42557","-105.55849","Laramie","WY","Wyoming","TRUE","","16874","34.5","56001","Albany","{""56001"": 100}","Albany","56001","FALSE","FALSE","America/Denver"
"82073","41.16408","-105.43228","Laramie","WY","Wyoming","TRUE","","38","1.4","56001","Albany","{""56001"": 100}","Albany","56001","FALSE","FALSE","America/Denver"
"82081","41.52319","-104.40653","Meriden","WY","Wyoming","TRUE","","77","0.3","56021","Laramie","{""56021"": 100}","Laramie","56021","FALSE","FALSE","America/Denver"
"82082","41.2632","-104.09359","Pine Bluffs","WY","Wyoming","TRUE","","1819","2.2","56021","Laramie","{""56021"": 70.63, ""31007"": 16.91, ""31105"": 10.66, ""08123"": 1.8}","Laramie|Banner|Kimball|Weld","56021|31007|31105|08123","FALSE","FALSE","America/Denver"
"82083","41.72291","-105.99118","Rock River","WY","Wyoming","TRUE","","326","0.5","56001","Albany","{""56001"": 65.36, ""56007"": 34.64}","Albany|Carbon","56001|56007","FALSE","FALSE","America/Denver"
