"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"56304","45.52512","-94.05199","Saint Cloud","MN","Minnesota","TRUE","","16619","105.8","27141","Sherburne","{""27141"": 86.81, ""27009"": 13.19}","Sherburne|Benton","27141|27009","FALSE","FALSE","America/Chicago"
"56307","45.62666","-94.58769","Albany","MN","Minnesota","TRUE","","5337","19.5","27145","Stearns","{""27145"": 99.31, ""27097"": 0.69}","Stearns|Morrison","27145|27097","FALSE","FALSE","America/Chicago"
"56308","45.87047","-95.38985","Alexandria","MN","Minnesota","TRUE","","25941","64.3","27041","Douglas","{""27041"": 96.13, ""27121"": 3.87}","Douglas|Pope","27041|27121","FALSE","FALSE","America/Chicago"
"56309","46.08035","-95.80202","Ashby","MN","Minnesota","TRUE","","1396","9.4","27051","Grant","{""27051"": 59.94, ""27111"": 34.85, ""27041"": 5.21}","Grant|Otter Tail|Douglas","27051|27111|27041","FALSE","FALSE","America/Chicago"
"56310","45.63399","-94.44352","Avon","MN","Minnesota","TRUE","","5383","29.0","27145","Stearns","{""27145"": 100}","Stearns","27145","FALSE","FALSE","America/Chicago"
"56311","45.89756","-95.89852","Barrett","MN","Minnesota","TRUE","","738","3.9","27051","Grant","{""27051"": 100}","Grant","27051","FALSE","FALSE","America/Chicago"
"56312","45.46285","-94.95323","Belgrade","MN","Minnesota","TRUE","","2437","5.5","27145","Stearns","{""27145"": 74.47, ""27067"": 25.53}","Stearns|Kandiyohi","27145|27067","FALSE","FALSE","America/Chicago"
"56313","45.78403","-93.55273","Bock","MN","Minnesota","TRUE","","83","221.9","27095","Mille Lacs","{""27095"": 100}","Mille Lacs","27095","FALSE","FALSE","America/Chicago"
"56314","45.81139","-94.43189","Bowlus","MN","Minnesota","TRUE","","1355","12.3","27097","Morrison","{""27097"": 90.31, ""27145"": 9.69}","Morrison|Stearns","27097|27145","FALSE","FALSE","America/Chicago"
"56315","45.97996","-95.59211","Brandon","MN","Minnesota","TRUE","","1872","10.5","27041","Douglas","{""27041"": 96.83, ""27111"": 3.17}","Douglas|Otter Tail","27041|27111","FALSE","FALSE","America/Chicago"
"56316","45.49959","-95.14992","Brooten","MN","Minnesota","TRUE","","1417","4.1","27121","Pope","{""27121"": 52.3, ""27145"": 36.27, ""27067"": 11.43}","Pope|Stearns|Kandiyohi","27121|27145|27067","FALSE","FALSE","America/Chicago"
"56318","45.85332","-94.67085","Burtrum","MN","Minnesota","TRUE","","1010","9.7","27153","Todd","{""27153"": 68.14, ""27097"": 31.86}","Todd|Morrison","27153|27097","FALSE","FALSE","America/Chicago"
"56319","46.00488","-95.22322","Carlos","MN","Minnesota","TRUE","","1301","12.4","27041","Douglas","{""27041"": 80.76, ""27153"": 19.24}","Douglas|Todd","27041|27153","FALSE","FALSE","America/Chicago"
"56320","45.4629","-94.4171","Cold Spring","MN","Minnesota","TRUE","","8223","62.2","27145","Stearns","{""27145"": 100}","Stearns","27145","FALSE","FALSE","America/Chicago"
"56321","45.57969","-94.39288","Collegeville","MN","Minnesota","TRUE","","1631","993.7","27145","Stearns","{""27145"": 100}","Stearns","27145","FALSE","FALSE","America/Chicago"
"56323","45.63321","-95.72586","Cyrus","MN","Minnesota","TRUE","","568","5.1","27121","Pope","{""27121"": 79.94, ""27149"": 20.06}","Pope|Stevens","27121|27149","FALSE","FALSE","America/Chicago"
"56324","46.16385","-95.90766","Dalton","MN","Minnesota","TRUE","","1138","7.6","27111","Otter Tail","{""27111"": 98.23, ""27051"": 1.77}","Otter Tail|Grant","27111|27051","FALSE","FALSE","America/Chicago"
"56325","45.56303","-94.94732","Elrosa","MN","Minnesota","TRUE","","193","467.1","27145","Stearns","{""27145"": 100}","Stearns","27145","FALSE","FALSE","America/Chicago"
"56326","46.02506","-95.68596","Evansville","MN","Minnesota","TRUE","","1802","7.3","27041","Douglas","{""27041"": 89.2, ""27111"": 8.69, ""27051"": 2.11}","Douglas|Otter Tail|Grant","27041|27111|27051","FALSE","FALSE","America/Chicago"
"56327","45.75893","-95.61336","Farwell","MN","Minnesota","TRUE","","824","6.6","27121","Pope","{""27121"": 53.37, ""27041"": 46.63}","Pope|Douglas","27121|27041","FALSE","FALSE","America/Chicago"
"56328","45.9519","-94.52147","Flensburg","MN","Minnesota","TRUE","","163","30.4","27097","Morrison","{""27097"": 100}","Morrison","27097","FALSE","FALSE","America/Chicago"
"56329","45.70934","-93.90577","Foley","MN","Minnesota","TRUE","","7771","15.6","27009","Benton","{""27009"": 88.02, ""27097"": 11.63, ""27141"": 0.35}","Benton|Morrison|Sherburne","27009|27097|27141","FALSE","FALSE","America/Chicago"
"56330","45.75018","-93.75117","Foreston","MN","Minnesota","TRUE","","1712","16.7","27095","Mille Lacs","{""27095"": 62.62, ""27009"": 37.38}","Mille Lacs|Benton","27095|27009","FALSE","FALSE","America/Chicago"
"56331","45.67926","-94.6742","Freeport","MN","Minnesota","TRUE","","2265","12.6","27145","Stearns","{""27145"": 98.88, ""27097"": 1.12}","Stearns|Morrison","27145|27097","FALSE","FALSE","America/Chicago"
"56332","45.96993","-95.50554","Garfield","MN","Minnesota","TRUE","","1622","12.0","27041","Douglas","{""27041"": 100}","Douglas","27041","FALSE","FALSE","America/Chicago"
