"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"84055","40.71889","-111.16106","Oakley","UT","Utah","TRUE","","1571","4.8","49043","Summit","{""49043"": 100}","Summit","49043","FALSE","FALSE","America/Denver"
"84056","41.12679","-111.99084","Hill Afb","UT","Utah","TRUE","","3566","142.9","49011","Davis","{""49011"": 100}","Davis","49011","FALSE","FALSE","America/Denver"
"84057","40.31427","-111.70948","Orem","UT","Utah","TRUE","","38600","2419.2","49049","Utah","{""49049"": 100}","Utah","49049","FALSE","FALSE","America/Denver"
"84058","40.27474","-111.71468","Orem","UT","Utah","TRUE","","33714","1621.5","49049","Utah","{""49049"": 100}","Utah","49049","FALSE","FALSE","America/Denver"
"84059","40.30353","-111.74853","Vineyard","UT","Utah","TRUE","","13921","1006.0","49049","Utah","{""49049"": 100}","Utah","49049","FALSE","FALSE","America/Denver"
"84060","40.6418","-111.50332","Park City","UT","Utah","TRUE","","8757","77.2","49043","Summit","{""49043"": 75.57, ""49051"": 24.43}","Summit|Wasatch","49043|49051","FALSE","FALSE","America/Denver"
"84061","40.74721","-111.3417","Peoa","UT","Utah","TRUE","","359","2.5","49043","Summit","{""49043"": 100}","Summit","49043","FALSE","FALSE","America/Denver"
"84062","40.38586","-111.68421","Pleasant Grove","UT","Utah","TRUE","","47203","359.4","49049","Utah","{""49049"": 100}","Utah","49049","FALSE","FALSE","America/Denver"
"84063","40.21007","-109.69285","Randlett","UT","Utah","TRUE","","234","1.0","49047","Uintah","{""49047"": 100}","Uintah","49047","FALSE","FALSE","America/Denver"
"84064","41.67086","-111.12293","Randolph","UT","Utah","TRUE","","976","2.1","49033","Rich","{""49033"": 100}","Rich","49033","FALSE","FALSE","America/Denver"
"84065","40.495","-111.9444","Riverton","UT","Utah","TRUE","","49075","917.8","49035","Salt Lake","{""49035"": 100}","Salt Lake","49035","FALSE","FALSE","America/Denver"
"84066","40.34671","-110.05171","Roosevelt","UT","Utah","TRUE","","13441","21.6","49013","Duchesne","{""49013"": 78.95, ""49047"": 21.05}","Duchesne|Uintah","49013|49047","FALSE","FALSE","America/Denver"
"84067","41.17189","-112.04803","Roy","UT","Utah","TRUE","","39076","1839.9","49057","Weber","{""49057"": 100}","Weber","49057","FALSE","FALSE","America/Denver"
"84069","40.36521","-112.48548","Rush Valley","UT","Utah","TRUE","","507","3.5","49045","Tooele","{""49045"": 100}","Tooele","49045","FALSE","FALSE","America/Denver"
"84070","40.57707","-111.88916","Sandy","UT","Utah","TRUE","","30091","1583.3","49035","Salt Lake","{""49035"": 100}","Salt Lake","49035","FALSE","FALSE","America/Denver"
"84071","40.4191","-112.32475","Stockton","UT","Utah","TRUE","","2168","6.9","49045","Tooele","{""49045"": 100}","Tooele","49045","FALSE","FALSE","America/Denver"
"84072","40.3641","-110.633","Tabiona","UT","Utah","TRUE","","394","1.0","49013","Duchesne","{""49013"": 100}","Duchesne","49013","FALSE","FALSE","America/Denver"
"84073","40.3456","-110.41394","Talmage","UT","Utah","TRUE","","316","4.4","49013","Duchesne","{""49013"": 100}","Duchesne","49013","FALSE","FALSE","America/Denver"
"84074","40.57379","-112.29914","Tooele","UT","Utah","TRUE","","53932","119.5","49045","Tooele","{""49045"": 100}","Tooele","49045","FALSE","FALSE","America/Denver"
"84075","41.05975","-112.06933","Syracuse","UT","Utah","TRUE","","31552","348.6","49011","Davis","{""49011"": 100}","Davis","49011","FALSE","FALSE","America/Denver"
"84076","40.44718","-109.84017","Tridell","UT","Utah","TRUE","","464","22.8","49047","Uintah","{""49047"": 100}","Uintah","49047","FALSE","FALSE","America/Denver"
"84078","40.46403","-109.5084","Vernal","UT","Utah","TRUE","","29877","8.6","49047","Uintah","{""49047"": 100}","Uintah","49047","FALSE","FALSE","America/Denver"
"84080","40.02168","-112.44818","Vernon","UT","Utah","TRUE","","244","0.4","49045","Tooele","{""49045"": 100}","Tooele","49045","FALSE","FALSE","America/Denver"
"84081","40.60275","-112.03821","West Jordan","UT","Utah","TRUE","","50596","1262.7","49035","Salt Lake","{""49035"": 100}","Salt Lake","49035","FALSE","FALSE","America/Denver"
"84082","40.3404","-111.36184","Wallsburg","UT","Utah","TRUE","","849","2.2","49051","Wasatch","{""49051"": 100}","Wasatch","49051","FALSE","FALSE","America/Denver"
"84083","40.84354","-113.6944","Wendover","UT","Utah","TRUE","","1161","0.7","49045","Tooele","{""49045"": 100}","Tooele","49045","FALSE","FALSE","America/Denver"
"84084","40.62139","-111.96603","West Jordan","UT","Utah","TRUE","","32514","1890.8","49035","Salt Lake","{""49035"": 100}","Salt Lake","49035","FALSE","FALSE","America/Denver"
"84085","40.58609","-109.92642","Whiterocks","UT","Utah","TRUE","","309","1.2","49047","Uintah","{""49047"": 100}","Uintah","49047","FALSE","FALSE","America/Denver"
"84086","41.41644","-111.20858","Woodruff","UT","Utah","TRUE","","471","1.6","49033","Rich","{""49033"": 100}","Rich","49033","FALSE","FALSE","America/Denver"
"84087","40.8891","-111.92898","Woods Cross","UT","Utah","TRUE","","16133","449.5","49011","Davis","{""49011"": 100}","Davis","49011","FALSE","FALSE","America/Denver"
"84088","40.59507","-111.96077","West Jordan","UT","Utah","TRUE","","39229","1616.6","49035","Salt Lake","{""49035"": 100}","Salt Lake","49035","FALSE","FALSE","America/Denver"
